Codigo;Codigo CAS-CHILE;Nombre del Bien;Subfamilia;Familia;DenominaciÛn;Cuenta Contable;Marca;Modelo;Serie;Descripcion;Origen;Responsable;Dependencia;Establecimiento;Unidad;Fecha;Estado; Valor sin iva ; Valor con iva ;OCompra;En Uso;TIPO DE CONTROL;VIDA UTIL EN A—OS S/CGR;VIDA UTIL EN MESES;VIDA UTIL SEG⁄N CRITERIO CGR EN MESES;VIDA UTIL INSUMIDA EN MESES;VIDA UTIL RETANTE EN MESES;DEPRECIACION MENSUAL;DEPRECIACION ACUMULADA ;VALOR LIBRO;VERIFICADO;FECHA VERIFICACION;REGISTRO NUEVO;eso1;eso2
SLD-001001;008-008-001;ESCRITORIO 1 CAJON;ESCRITORIOS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;59.990;71.388;2196-271-SE21;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;71.388;NO;;;;
SLD-001002;008-002-004;BANQUETA MOVIL;BANQUETA;MUEBLES Y ENSERES;MUEBLES Y ENSERES;141-06-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;449.999;535.499;908366-74-SE21;SI;ACTIVO FIJO;7;84;63;21;63;6.375;133.875;401.624;NO;;;;
SLD-001003;002-003-017;ESTUFA A GAS;EQUIPOS DE CLIMATIZACION;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;112.737;134.157;3771-74-SE22;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;134.157;SI;18-12-2025;;;
SLD-001004;008-026-014;SILLA ESCOLAR MELAMINA;SILLAS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;18.950;22.551;2687-190-SE24;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;22.551;SI;18-12-2025;;;
SLD-001005;008-010-004;ESTANTE UNA PUERTA;ESTANTES;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;134.990;160.638;2582-96-SE23;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;160.638;SI;18-12-2025;;;
SLD-001012;002-011-003;BALANZA CON TALLIMETRO MECANICA;MAQUINARIAS Y EQUIPOS MEDICOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;141-02-00-000-000-000;HEALTH O METER;;;;PROPIO;;BOX 1;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;474.500;564.655;4238-377-SE22;SI;ACTIVO FIJO;8;96;72;24;72;5.882;141.168;423.487;SI;18-12-2025;;;
SLD-001013;002-015-021;CAMILLA DE PROCEDIMIENTOS;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;141-02-00-000-000-000;;;;;PROPIO;;BOX 1;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;274.416;326.555;812261-1776-SE22;SI;ACTIVO FIJO;8;96;72;24;72;3.402;81.648;244.907;SI;18-12-2025;;;
SLD-001014;002-015-026;SILLA DE RUEDAS;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;137.500;163.625;2098-1670-SE22;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;163.625;SI;18-12-2025;;;
SLD-001015;002-015-009;CARTABON PEDIATRICO;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;75.500;89.845;3778-434-SE20;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;89.845;SI;18-12-2025;;;
SLD-001016;008-008-001;ESCRITORIO 1 CAJON;ESCRITORIOS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;BOX 2;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;59.990;71.388;2196-271-SE21;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;71.388;SI;18-12-2025;;;
SLD-001017;008-005-003;TABLA DE INMOVILIZACION ESPINAL;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;58.500;69.615;4906-31-SE20;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;69.615;SI;18-12-2025;;;
SLD-001018;008-026-026;SILLA PLASTICA;SILLAS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;BOX 3;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;12.000;14.280;4314-476-SE21;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;14.280;SI;18-12-2025;;;
SLD-001019;008-026-026;SILLA PLASTICA;SILLAS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;BOX 1;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;12.000;14.280;4314-476-SE21;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;14.280;SI;18-12-2025;;;
SLD-001020;008-008-001;ESCRITORIO 1 CAJON;ESCRITORIOS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;BOX 1;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;59.990;71.388;2196-271-SE21;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;71.388;SI;18-12-2025;;;
SLD-001021;008-002-001;BANQUETA DE ESPERA 3 ASIENTOS;BANQUETA;MUEBLES Y ENSERES;MUEBLES Y ENSERES;141-06-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;202.590;241.082;2292-930-SE23;SI;ACTIVO FIJO;7;84;63;21;63;2.870;60.270;180.812;NO;;;;
SLD-001022;008-008-001;ESCRITORIO 1 CAJON;ESCRITORIOS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;59.990;71.388;2196-271-SE21;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;71.388;NO;;;;
SLD-001023;008-010-019;GABINETE AEREO;ESTANTES;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;PUERTAS DE VIDRIO;PROPIO;;BOX 2;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;99.800;118.762;2345-862-SE24;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;118.762;SI;18-12-2025;;;
SLD-001024;002-015-028;TABLA INMOBILIZADORA LARGA;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;CASINO;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;58.500;69.615;4906-31-SE20;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;69.615;SI;18-12-2025;;;
SLD-001025;008-023-002;CILINDRO DE GAS;MAQUINARIAS Y EQUIPOS;OTRAS M¡QUINAS Y EQUIPOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;15KG;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;47.800;56.882;1211839-711-SE23;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;56.882;SI;18-12-2025;;;
SLD-001026;002-015-015;ESCABEL;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;BOX 2;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;49.000;58.310;1267885-1110-SE23;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;58.310;SI;18-12-2025;;;
SLD-001027;002-001-009;LAVAPLATOS;DE CASINO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;141-02-00-000-000-000;;;;;PROPIO;;CASINO;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;380.000;452.200;564162-2064-SE24;SI;ACTIVO FIJO;9;108;81;27;81;4.187;113.049;339.151;SI;18-12-2025;;;
SLD-001028;008-008-003;ESCRITORIO 3 CAJONES;ESCRITORIOS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;BOX KINICIOLOGA;POSTA RAPEL (EDIFICIO ANTIGUO);DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;101.899;121.260;1638-6-SE24;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;121.260;;;;;
SLD-001029;008-014-002;JUEGO MODULAR PLAZA;JUEGOS INFANTILES;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;PATIO DELANTERO;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;42.112;50.113;1057500-758-SE22;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;50.113;;;;;
SLD-001030;008-001-003;BANCA DE PLAZA;BANCAS;MUEBLES Y ENSERES;MUEBLES Y ENSERES;141-06-00-000-000-000;;;;;PROPIO;;PATIO DELANTERO;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;229.254;272.812;2790-298-SE24;SI;ACTIVO FIJO;7;84;63;21;63;3.248;68.208;204.604;;;;;
SLD-001031;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;SAMSUNG;DIGITAL INTERVER;AR18BSHQAURN;;PROPIO;;SALA DE ESPERA 1;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;SI;;;;
SLD-001032;002-011-046;SILLON DENTAL;MAQUINARIAS Y EQUIPOS MEDICOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;141-02-00-000-000-000;HONGICE;HK610GT;HK102123010;;PROPIO;;BOX DENTAL;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;4.625.000;5.503.750;3821-276-SE24;SI;ACTIVO FIJO;8;96;72;24;72;57.331;1.375.944;4.127.806;SI;;;;
SLD-001033;009-007-001;COMPRESOR DE AIRE;MAQUINARIAS Y EQUIPOS MEDICOS;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;WEGI;;12801238;;PROPIO;;PATIO TRASERO;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;299.890;356.869;2682-693-SE20;SI;ACTIVO FIJO;15;180;135;45;135;1.983;89.235;267.634;;;;;
SLD-001034;002-010-003;COOLER;MAQUINARIAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;141-02-00-000-000-000;;;;;PROPIO;;FARMACIA;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;1.858.000;2.211.020;3512-737-SE24;SI;ACTIVO FIJO;8;96;72;24;72;23.031;552.744;1.658.276;;;;;
SLD-001035;002-015-019;MESA MAYO;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;URGENCIAS;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;59.860;71.233;1464-1056-SE23;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;71.233;;;;;
SLD-001036;004-003-002;COMPUTADOR CPU;COMPUTADOR;EQUIPOS COMPUTACIONALES Y PERIFERICOS;EQUIPOS COMPUTACIONALES Y PERIFERICOS;141-08-00-000-000-000;HP;;ACE230BJ0S;;PROPIO;;BOX MATRONA;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;485.691;577.972;2759-834-SE24;SI;ACTIVO FIJO;6;72;54;18;54;8.027;144.486;433.486;SI;;;;
SLD-001037;004-002-004;MONITOR COMPUTADOR;MONITOR;EQUIPOS COMPUTACIONALES Y PERIFERICOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;ACER;E1900HQ;MMT3FAA003738004583B00;;PROPIO;;BOX MATRONA;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;86.547;102.991;899-333-SE22;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;102.991;SI;;;;
SLD-001038;002-011-010;CAMILLA GINECOLOGICA;MAQUINARIAS Y EQUIPOS MEDICOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;141-02-00-000-000-000;;;;;PROPIO;;BOX MATRONA;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;388.000;461.720;3512-742-SE24;SI;ACTIVO FIJO;8;96;72;24;72;4.810;115.440;346.280;SI;;;;
SLD-001039;002-015-019;MESA MAYO;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;BOX MATRONA;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;59.860;71.233;1464-1056-SE23;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;71.233;;;;;
SLD-001040;002-015-032;TALLIMETRO;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;0;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;91.500;108.885;1660-1066-SE19;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;108.885;SI;;;;
SLD-001041;008-002-002;BANQUETA DE ESPERA 4 ASIENTOS;BANQUETA;MUEBLES Y ENSERES;MUEBLES Y ENSERES;141-06-00-000-000-000;;;;;PROPIO;;0;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;199.990;237.988;3251-387-SE24;SI;ACTIVO FIJO;7;84;63;21;63;2.833;59.493;178.495;NO;;;;
SLD-001042;008-002-002;BANQUETA DE ESPERA 4 ASIENTOS;BANQUETA;MUEBLES Y ENSERES;MUEBLES Y ENSERES;141-06-00-000-000-000;;;;;PROPIO;;SALA DE ESPERA 2;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;199.990;237.988;3251-387-SE24;SI;ACTIVO FIJO;7;84;63;21;63;2.833;59.493;178.495;;;;;
SLD-001043;008-002-001;BANQUETA DE ESPERA 3 ASIENTOS;BANQUETA;MUEBLES Y ENSERES;MUEBLES Y ENSERES;141-06-00-000-000-000;;;;ACOLCHADA;PROPIO;;SALA DE ESPERA 2;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;202.590;241.082;2292-930-SE23;SI;ACTIVO FIJO;7;84;63;21;63;2.870;60.270;180.812;SI;;;;
SLD-001044;002-015-021;CAMILLA DE PROCEDIMIENTOS;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;141-02-00-000-000-000;;;;;PROPIO;;PASILLO;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;274.416;326.555;812261-1776-SE22;SI;ACTIVO FIJO;8;96;72;24;72;3.402;81.648;244.907;;;;;
SLD-001045;008-005-004;TABLA DE RESCATE CORTA;OTRO MOBILIARIO MEDICO;MAQUINARIAS Y EQUIPOS PARA LA PRODUCCION O PRESTACION DE SERVICIOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;SAMSUNG;;UN43NU7100GXZS;;PROPIO;;SALA DE ESPERA 1;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;70.000;83.300;1978-1376-SE23;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;83.300;SI;;;;
SLD-001046;007-004-008;IMPRESORA ETIQUETAS;IMPRESORAS;MAQUINAS Y EQUIPOS DE OFICINA;MAQUINAS Y EQUIPOS DE OFICINAS;141-04-00-000-000-000;ZEBRA;GK420T;;;PROPIO;;URGENCIAS;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;248.000;295.120;1175-254-SE24;SI;ACTIVO FIJO;3;36;27;9;27;8.198;73.782;221.338;;;;;
SLD-001047;004-003-002;COMPUTADOR CPU;COMPUTADOR;EQUIPOS COMPUTACIONALES Y PERIFERICOS;EQUIPOS COMPUTACIONALES Y PERIFERICOS;141-08-00-000-000-000;HP;;2UA3191N38;;PROPIO;;URGENCIAS;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;485.691;577.972;2759-834-SE24;SI;ACTIVO FIJO;6;72;54;18;54;8.027;144.486;433.486;;;;;
SLD-001048;004-002-004;MONITOR COMPUTADOR;MONITOR;EQUIPOS COMPUTACIONALES Y PERIFERICOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;SAMSUNG;S22F350FHL;0ABZHCNR804056D;;PROPIO;;URGENCIAS;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;86.547;102.991;899-333-SE22;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;102.991;;;;;
SLD-001049;008-026-005;SILLA DE ESCRITORIO GIRATORIA;SILLAS;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;URGENCIAS;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;109.240;129.996;2992-631-SE24;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;129.996;;;;;
SLD-001050;008-019-028;FRIGO BAR;MAQUINARIAS Y EQUIPOS;OTRAS M¡QUINAS Y EQUIPOS;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;CASINO;POSTA SAN VICENTE;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;150.900;179.571;2467-1520-AG24;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;179.571;SI;;;;
